Author,Message_Count,Total_Characters,Average_Content_Length,Activity_Category
Nico22sp#5083,1,18.0,3.0,Very Low
Niels#2260,1,18.0,3.0,Very Low
NigerianPrince#6750,1,18.0,3.0,Very Low
Nightwolf443188#6121,1,18.0,3.0,Very Low
Nik#1078,1,18.0,3.0,Very Low
Nikhil_M#0297,1,18.0,3.0,Very Low
Nikki606#1945,1,18.0,3.0,Very Low
Nina_Amilakvari#5536,2,31.0,2.5,Very Low
Ninga#0698,1,18.0,3.0,Very Low
Noah | AgraWatt#7585,1,18.0,3.0,Very Low
Noah⚙#8801,1,18.0,3.0,Very Low
Nobbyisnuts#8730,1,18.0,3.0,Very Low
Noc2#1189,1,18.0,3.0,Very Low
Node_Runner#2100,1,18.0,3.0,Very Low
NoemiNFT#0116,1,18.0,3.0,Very Low
Nombulelo Moepi#1650,1,18.0,3.0,Very Low
Nonane#0455,1,18.0,3.0,Very Low
Norbert | Ocean#7805,177,28755.0,29.64406779661017,Moderate
Norbi#7853,2,36.0,3.0,Very Low
NordicSam#0913,1,18.0,3.0,Very Low
Norlor#6137,1,18.0,3.0,Very Low
Not anyone#9814,4,810.0,36.5,Very Low
NotJitsu≡ƒûñ#1811,1,18.0,3.0,Very Low
NotS╬▒╚Ñ╧à#5722,1,18.0,3.0,Very Low
Notice#0098,1,18.0,3.0,Very Low
Notice#0150,1,18.0,3.0,Very Low
Notice#0287,1,18.0,3.0,Very Low
Notice#0402,1,18.0,3.0,Very Low
Notice#1016,1,18.0,3.0,Very Low
Notice#1148,1,18.0,3.0,Very Low
Notice#1334,1,18.0,3.0,Very Low
Notice#2178,1,18.0,3.0,Very Low
Notice#2212,1,18.0,3.0,Very Low
Notice#2334,1,18.0,3.0,Very Low
Notice#2751,1,18.0,3.0,Very Low
Notice#2806,1,18.0,3.0,Very Low
Notice#2968,1,18.0,3.0,Very Low
Notice#3112,1,18.0,3.0,Very Low
Notice#3196,1,18.0,3.0,Very Low
Notice#3431,1,18.0,3.0,Very Low
Notice#3553,1,18.0,3.0,Very Low
Notice#3594,1,18.0,3.0,Very Low
Notice#3841,1,18.0,3.0,Very Low
Notice#3890,1,18.0,3.0,Very Low
Notice#4484,1,18.0,3.0,Very Low
Notice#4649,1,18.0,3.0,Very Low
Notice#4662,1,18.0,3.0,Very Low
Notice#4856,1,18.0,3.0,Very Low
Notice#4857,1,18.0,3.0,Very Low
Notice#4964,1,18.0,3.0,Very Low
Notice#5227,1,18.0,3.0,Very Low
Notice#5455,1,18.0,3.0,Very Low
Notice#5747,1,18.0,3.0,Very Low
Notice#5855,1,18.0,3.0,Very Low
Notice#5915,1,18.0,3.0,Very Low
Notice#6001,1,18.0,3.0,Very Low
Notice#6222,1,18.0,3.0,Very Low
Notice#6345,1,18.0,3.0,Very Low
Notice#6421,1,18.0,3.0,Very Low
Notice#6621,1,18.0,3.0,Very Low
Notice#6736,1,18.0,3.0,Very Low
Notice#6852,1,18.0,3.0,Very Low
Notice#7223,1,18.0,3.0,Very Low
Notice#7513,1,18.0,3.0,Very Low
Notice#7849,1,18.0,3.0,Very Low
Notice#8284,1,18.0,3.0,Very Low
Notice#8338,1,18.0,3.0,Very Low
Notice#8622,1,18.0,3.0,Very Low
Notice#8693,1,18.0,3.0,Very Low
Notice#8868,1,18.0,3.0,Very Low
Notice#9195,1,18.0,3.0,Very Low
Notice#9200,1,18.0,3.0,Very Low
Notice#9234,1,18.0,3.0,Very Low
Notice#9468,1,18.0,3.0,Very Low
Notice#9533,1,18.0,3.0,Very Low
Notice#9889,1,18.0,3.0,Very Low
Notice#9994,1,18.0,3.0,Very Low
Nova#8793,1,18.0,3.0,Very Low
NowNero#4676,1,18.0,3.0,Very Low
Nowhere_newss#7385,1,18.0,3.0,Very Low
NubPleyar#9492,1,18.0,3.0,Very Low
Nuggets#6914,1,18.0,3.0,Very Low
Number 48#0612,4,217.0,9.5,Very Low
OFFASTT#4600,1,18.0,3.0,Very Low
OGbtab#6884,1,18.0,3.0,Very Low
OMelhorEntreELES#1934,1,18.0,3.0,Very Low
OP_Lover#7308,4,160.0,7.25,Very Low
ORACLE#1541,1,18.0,3.0,Very Low
OVERSEER#2185,1,18.0,3.0,Very Low
OX//MOD☎#6437,1,18.0,3.0,Very Low
ObamaBruh#6871,1,188.0,32.0,Very Low
Obi#1799,1,18.0,3.0,Very Low
Ocean Protocol • TweetShift,250,3864.0,1.328,Moderate
Ocean#0075,1,18.0,3.0,Very Low
Ocean#0714,1,18.0,3.0,Very Low
Ocean#0792,1,18.0,3.0,Very Low
Ocean#0876,1,18.0,3.0,Very Low
Ocean#1329,1,18.0,3.0,Very Low
Ocean#1559,1,18.0,3.0,Very Low
Ocean#1696,1,18.0,3.0,Very Low
Ocean#1818,1,18.0,3.0,Very Low
Ocean#1945,1,18.0,3.0,Very Low
Ocean#2057,1,18.0,3.0,Very Low
Ocean#2239,1,18.0,3.0,Very Low
Ocean#2318,1,18.0,3.0,Very Low
Ocean#2468,1,18.0,3.0,Very Low
Ocean#2690,1,18.0,3.0,Very Low
Ocean#2780,1,18.0,3.0,Very Low
Ocean#2852,1,18.0,3.0,Very Low
Ocean#2920,1,18.0,3.0,Very Low
Ocean#3078,1,18.0,3.0,Very Low
Ocean#3117,1,18.0,3.0,Very Low
Ocean#3401,1,18.0,3.0,Very Low
Ocean#3535,1,18.0,3.0,Very Low
Ocean#3788,1,18.0,3.0,Very Low
Ocean#3798,1,18.0,3.0,Very Low
Ocean#3842,1,18.0,3.0,Very Low
Ocean#3923,1,18.0,3.0,Very Low
Ocean#3964,1,18.0,3.0,Very Low
Ocean#4018,1,18.0,3.0,Very Low
Ocean#4161,1,18.0,3.0,Very Low
Ocean#4617,1,18.0,3.0,Very Low
Ocean#4689,1,18.0,3.0,Very Low
Ocean#4863,2,19.0,2.0,Very Low
Ocean#5170,1,18.0,3.0,Very Low
Ocean#5226,1,18.0,3.0,Very Low
Ocean#5529,1,18.0,3.0,Very Low
Ocean#5949,1,18.0,3.0,Very Low
Ocean#6351,1,18.0,3.0,Very Low
Ocean#6551,1,18.0,3.0,Very Low
Ocean#6880,1,18.0,3.0,Very Low
Ocean#7192,1,18.0,3.0,Very Low
Ocean#7283,1,18.0,3.0,Very Low
Ocean#7544,1,18.0,3.0,Very Low
Ocean#7869,1,18.0,3.0,Very Low
Ocean#8157,1,18.0,3.0,Very Low
Ocean#8711,1,18.0,3.0,Very Low
Ocean#8735,1,18.0,3.0,Very Low
Ocean#9153,1,18.0,3.0,Very Low
Ocean#9317,1,18.0,3.0,Very Low
Ocean#9448,1,18.0,3.0,Very Low
Ocean#9656,1,18.0,3.0,Very Low
Ocean#9711,1,18.0,3.0,Very Low
Ocean#9726,1,18.0,3.0,Very Low
Ocean#9862,1,18.0,3.0,Very Low
OceanDiffusion#4502,637,54960.0,14.434850863422293,High
OceanGPT#0740,312,132487.0,66.51602564102564,Moderate
OceanOfData#2747,1,18.0,3.0,Very Low
OceanScience#9626,1,18.0,3.0,Very Low
Ocean_of_data#0825,1,18.0,3.0,Very Low
Odelia#7753,1,18.0,3.0,Very Low
Odex2000#8983,2,59.0,5.5,Very Low
Officer (Beware Of Scammers)#0034,1,18.0,3.0,Very Low
Officíal Dev#4381,1,18.0,3.0,Very Low
OldWei#6401,1,18.0,3.0,Very Low
Oleander#6639,1,18.0,3.0,Very Low
Olive#4924,1,18.0,3.0,Very Low
Olivebranch#9267,1,18.0,3.0,Very Low
Oliver777#9855,1,18.0,3.0,Very Low
Oluwafumbi#4958,1,18.0,3.0,Very Low
Ompehda#9902,2,36.0,3.0,Very Low
OneSpirit#3634,1,18.0,3.0,Very Low
Oni-Tomoe#8691,1,18.0,3.0,Very Low
Ootti#2265,1,18.0,3.0,Very Low
Operating Tech#3883,1,18.0,3.0,Very Low
Opeyemi#7086,1,18.0,3.0,Very Low
OptimusG ☁☁#6268,1,18.0,3.0,Very Low
Osama#3505,1,18.0,3.0,Very Low
OsamaBinBratan#7298,1,18.0,3.0,Very Low
"Oscar (✌,✌,✌)#4772",4,249.0,13.0,Very Low
Ospreyl#2408,1,316.0,57.0,Very Low
OthersideMeta#4783,5,90.0,3.0,Very Low
Outlander#2037,1,18.0,3.0,Very Low
P.O.V#9609,1,18.0,3.0,Very Low
PABLO OG#5747,1,18.0,3.0,Very Low
PARXCLOSER#9997,2,36.0,3.0,Very Low
PFloyd#6529,1,18.0,3.0,Very Low
PH#5025,1,18.0,3.0,Very Low
PINAM#0602,1,5.0,1.0,Very Low
PITOHUI#5278,1,18.0,3.0,Very Low
PL#6125,1,18.0,3.0,Very Low
POW3R#0329,1,18.0,3.0,Very Low
PRAKASHRBOHRA#8669,2,23.0,2.0,Very Low
PRIME#6841,1,18.0,3.0,Very Low
PWR Auxsus#5722,1,18.0,3.0,Very Low
Palatine#1738,1,18.0,3.0,Very Low
Pale Sample#1620,1,18.0,3.0,Very Low
PancakeSwap Reward#1601,1,18.0,3.0,Very Low
Pancakeswap Official#4859,1,18.0,3.0,Very Low
Panda4K#2408,1,18.0,3.0,Very Low
Pandinha#2013,1,18.0,3.0,Very Low
Paolino#7264,1,18.0,3.0,Very Low
Paolo Alberti#8825,1,18.0,3.0,Very Low
Papa Khan#3214,1,18.0,3.0,Very Low
PapaDuckie#6119,1,18.0,3.0,Very Low
PapiKiller#3979,1,18.0,3.0,Very Low
Par!s#8102,1,18.0,3.0,Very Low
Paschal09#6728,1,18.0,3.0,Very Low
PassiveUSDT#1490,1,18.0,3.0,Very Low
Pastita Megistus#8185,1,18.0,3.0,Very Low
Pat987#4275,1,18.0,3.0,Very Low
Pato Alvarez#8523,7,211.0,6.285714285714286,Very Low
Patorium#0110,1,18.0,3.0,Very Low
PauloCesarr#3607,1,18.0,3.0,Very Low
PavelHS555#0766,1,18.0,3.0,Very Low
Paz.#0874,1,18.0,3.0,Very Low
Pblow#3056,1,18.0,3.0,Very Low
Pea_nut#2478,1,18.0,3.0,Very Low
PedroMacaco#9971,1,18.0,3.0,Very Low
PelusH/SelevO/Serkan/38#5646,1,18.0,3.0,Very Low
Pen#2434,1,18.0,3.0,Very Low
Pentheus#1090,1,18.0,3.0,Very Low
Perbis12#9903,1,18.0,3.0,Very Low
Peter Darren#8520,1,18.0,3.0,Very Low
PetterssonHugo#9603,1,18.0,3.0,Very Low
Pharos VIP#4136,1,18.0,3.0,Very Low
PhilWizard#2540,1,18.0,3.0,Very Low
Philantrop#6446,3,407.0,25.333333333333332,Very Low
Philipp Kaufold#0744,1,18.0,3.0,Very Low
PhoenixFoxi#8261,1,18.0,3.0,Very Low
Phos#0213,1,18.0,3.0,Very Low
PhyTy#7022,1,18.0,3.0,Very Low
Phyo Min Htut#9613,1,18.0,3.0,Very Low
Pia268#8955,1,18.0,3.0,Very Low
Pickle#1712,1,18.0,3.0,Very Low
Picture914d#6373,1,18.0,3.0,Very Low
Pierre Gdd [BXL]#2882,1,18.0,3.0,Very Low
PigeonsAreGreen#3183,1,18.0,3.0,Very Low
Pinguino ΓÖí#3927,1,18.0,3.0,Very Low
Pingwin 14#1753,1,18.0,3.0,Very Low
Piyush#8741,1,18.0,3.0,Very Low
Pizzaless | DomainDAO#5018,1,18.0,3.0,Very Low
"Plant, ""Lord of Weebs""#9075",1,18.0,3.0,Very Low
Plea#3904,1,18.0,3.0,Very Low
Pokcix#5879,1,18.0,3.0,Very Low
Poker#1076,1,18.0,3.0,Very Low
Pomegranate#6837,3,22.0,1.6666666666666667,Very Low
PondHub#0884,1,18.0,3.0,Very Low
Pooh#8819,1,18.0,3.0,Very Low
Popitruis#6751,1,18.0,3.0,Very Low
Postman#6175,1,18.0,3.0,Very Low
Prabhav#9308,1,18.0,3.0,Very Low
Prateek#6383,1,18.0,3.0,Very Low
PregnantGiraffeMilker69#4517,1,18.0,3.0,Very Low
Prens#7694,1,18.0,3.0,Very Low
President Evil#7101,1,18.0,3.0,Very Low
Presidential_Ray#6063,1,18.0,3.0,Very Low
Prestigious#8895,1,18.0,3.0,Very Low
Princess Faye#0905,1,18.0,3.0,Very Low
Pritesh#2935,1,18.0,3.0,Very Low
Privetus#6346,2,20.0,2.0,Very Low
Professor Eric $ Dev#2784,1,18.0,3.0,Very Low
PrometheusDE#3598,2,314.0,29.0,Very Low
Prosperousjoe#7642,1,18.0,3.0,Very Low
PsiOm#1937,1,18.0,3.0,Very Low
Pucci Mane#5973,4,161.0,6.5,Very Low
PureJoy<3 | NkechiLive!#3765,1,18.0,3.0,Very Low
QuadSkwad#6223,1,18.0,3.0,Very Low
Quadran.nodes#5169,1,18.0,3.0,Very Low
Quartti#3168,1,18.0,3.0,Very Low
Queen Crimson#2451,1,18.0,3.0,Very Low
QueenPat#9259,112,14294.0,22.785714285714285,Moderate
Quick Response Dev#5846,1,18.0,3.0,Very Low
Quintillion#9369,1,18.0,3.0,Very Low
Qui♧♧#0801,1,26.0,5.0,Very Low
R I C K Y#9805,1,18.0,3.0,Very Low
R4sty#4376,1,18.0,3.0,Very Low
RAJOO.BHI#4765,1,18.0,3.0,Very Low
RD#1328,1,18.0,3.0,Very Low
REDUX#4802,1,18.0,3.0,Very Low
RF#9636,1,18.0,3.0,Very Low
RHIYU#8907,1,18.0,3.0,Very Low
RK#2373,1,18.0,3.0,Very Low
RM#1891,1,18.0,3.0,Very Low
RYAN ⬖ GROUP ⬖ DEVELOPER#3113,1,18.0,3.0,Very Low
Rabbit#5670,1,18.0,3.0,Very Low
Radgie#3636,1,18.0,3.0,Very Low
Radiant#6914,1,18.0,3.0,Very Low
Raheem#7840,1,18.0,3.0,Very Low
Rahela | NEAR Balkans#8826,1,18.0,3.0,Very Low
RaiNn#0526,1,18.0,3.0,Very Low
Raichu#9099,1,18.0,3.0,Very Low
Rainn#8934,1,18.0,3.0,Very Low
RajJags#3646,1,18.0,3.0,Very Low
Rajuallan#8852,1,18.0,3.0,Very Low
Ralf Ragnick#7202,1,18.0,3.0,Very Low
RalucaDiana#7465,1,18.0,3.0,Very Low
Ramiz-BTC#6993,1,6.0,1.0,Very Low
Rango#0601,1,18.0,3.0,Very Low
Rani / DuskNeurons [GMT+3]#9493,1,18.0,3.0,Very Low
Ransa#8763,1,18.0,3.0,Very Low
Raphael B#8797,1,18.0,3.0,Very Low
Raquel Magalhães#9590,2,36.0,3.0,Very Low
RaquelS#7925,1,18.0,3.0,Very Low
Rara#9646,1,18.0,3.0,Very Low
Rarity <3#2395,1,18.0,3.0,Very Low
Rashid#1017,1,18.0,3.0,Very Low
Rastin#0271,1,32.0,6.0,Very Low
Rat├│njuzgable#3842,1,18.0,3.0,Very Low
Raul77#8921,3,75.0,4.0,Very Low
RaveyK#2641,1,18.0,3.0,Very Low
Ravi_Joshi22#0306,2,307.0,23.5,Very Low
Raws#5002,1,18.0,3.0,Very Low
Rayna | Sating.io#5992,1,42.0,7.0,Very Low
Razak#5479,1,18.0,3.0,Very Low
Razvan#5026,1,18.0,3.0,Very Low
Reagan#9409,4,631.0,20.25,Very Low
ReaperΓäó#9188,1,18.0,3.0,Very Low
RedArmyPigeon#4176,1,18.0,3.0,Very Low
Redez#7222,1,18.0,3.0,Very Low
Reflays#2383,1,18.0,3.0,Very Low
Rejunion#5865,1,18.0,3.0,Very Low
Reno#7664,8,1196.0,25.75,Very Low
Renton｜PLUR#8547,10,106.0,2.1,Very Low
RenéeF#7591,1,18.0,3.0,Very Low
RetroJunky.T#7529,1,18.0,3.0,Very Low
RexSandy#9216,3,677.0,38.333333333333336,Very Low
Ricard#1737,1,143.0,31.0,Very Low
Richard_200#2442,1,18.0,3.0,Very Low
Rigby Martin#5710,1,18.0,3.0,Very Low
Riki#2835,1,18.0,3.0,Very Low
Riley#8591,1,45.0,10.0,Very Low
Rina#8176,1,18.0,3.0,Very Low
Rinayunus#9640,1,18.0,3.0,Very Low
RipitSlipit#2313,1,18.0,3.0,Very Low
Riqueza#0061,1,18.0,3.0,Very Low
RiskyBiscuit83#8693,1,18.0,3.0,Very Low
Ritik#2287,1,18.0,3.0,Very Low
Riya chhabra#8866,1,18.0,3.0,Very Low
Riyazrd3#5932,1,18.0,3.0,Very Low
Rizen#4501,2,133.0,10.5,Very Low
RoMaNa#8539,1,18.0,3.0,Very Low
RoadmanAzi  ≡ƒæ┐#0068,1,18.0,3.0,Very Low
RobTerry#9163,1,18.0,3.0,Very Low
Robbo#4315,1,18.0,3.0,Very Low
Robert_C#6604,1,18.0,3.0,Very Low
Robotmayor#8075,1,61.0,11.0,Very Low
Rohan146#7390,15,310.0,3.8666666666666667,Low
Romanbank#8706,10,414.0,8.1,Very Low
Roody#6779,1,18.0,3.0,Very Low
Rose <3#4668,1,18.0,3.0,Very Low
Rosszhang#8645,1,18.0,3.0,Very Low
Rozenfield#6136,1,18.0,3.0,Very Low
Rudralgo#8822,1,18.0,3.0,Very Low
Rupesh#0957,1,18.0,3.0,Very Low
Russell_Draper#9072,1,18.0,3.0,Very Low
Ryan E#3376,1,18.0,3.0,Very Low
Ryan Shiva#4580,1,18.0,3.0,Very Low
SAClobber#0534,1,18.0,3.0,Very Low
SAW#6553,1,18.0,3.0,Very Low
SCOTT#6224,1,18.0,3.0,Very Low
SCROLA13#9954,1,18.0,3.0,Very Low
SDr#9529,1,18.0,3.0,Very Low
SEP | Crypt#1066,1,18.0,3.0,Very Low
SEP | Crypt#6997,1,18.0,3.0,Very Low
SHMD#9690,1,18.0,3.0,Very Low
SHMOSBY#4655,1,18.0,3.0,Very Low
SK#9276,1,18.0,3.0,Very Low
SK31#3338,1,278.0,48.0,Very Low
SKDataMan#6393,1,367.0,65.0,Very Low
SOSakaLOLO#2522,1,18.0,3.0,Very Low
SOY1JMG#3437,2,20.0,2.0,Very Low
SPPTDESK#6946,1,18.0,3.0,Very Low
SPbAlexandr#9404,1,18.0,3.0,Very Low
SRGAMING#3679,1,18.0,3.0,Very Low
STUART#3710,1,18.0,3.0,Very Low
SUPER LAWYER#4994,1,18.0,3.0,Very Low
SWIPER#2949,1,18.0,3.0,Very Low
SZRose#9953,1,18.0,3.0,Very Low
Sachi12#4121,1,18.0,3.0,Very Low
SafaKara#7401,1,18.0,3.0,Very Low
Safi#4647,1,18.0,3.0,Very Low
SaintBerna#1467,3,111.0,7.333333333333333,Very Low
Saitama#0388,1,18.0,3.0,Very Low
Saja#6669,1,18.0,3.0,Very Low
Sakshi Dhamija#0272,1,501.0,77.0,Very Low
Salssify#1229,2,111.0,9.5,Very Low
Salty Save#8800,1,18.0,3.0,Very Low
Salva#7680,1,18.0,3.0,Very Low
Salvador#7928,1,18.0,3.0,Very Low
SalvadorDali#8253,1,18.0,3.0,Very Low
Sam Hurley#7287,1,18.0,3.0,Very Low
Sam456#1533,1,18.0,3.0,Very Low
Samanth#1480,1,18.0,3.0,Very Low
Sambright22#4400,1,2.0,1.0,Very Low
Sampson.#0767,1,18.0,3.0,Very Low
Samson#0651,1,18.0,3.0,Very Low
Samziiii#9942,1,18.0,3.0,Very Low
SandLabs (Wyatt)#9626,1,18.0,3.0,Very Low
Sandra bullock#5841,2,79.0,7.5,Very Low
Sandra martins#1356,1,18.0,3.0,Very Low
Sandra01#7334,1,18.0,3.0,Very Low
"Sangeet ( 🧮, 🍷)#3104",1,18.0,3.0,Very Low
Sangkuter#9093,1,18.0,3.0,Very Low
Santi | Filipino#4243,1,18.0,3.0,Very Low
Santiago Severino(SSADA)#9490,1,39.0,8.0,Very Low
Sarah brown#6985,1,18.0,3.0,Very Low
Sasa2k#9852,1,18.0,3.0,Very Low
Sashagilm1#2581,1,18.0,3.0,Very Low
Satirelifez#4260,1,18.0,3.0,Very Low
Sau1707#7368,3,216.0,15.0,Very Low
Sayuri#0246,1,18.0,3.0,Very Low
Sburp#8931,1,18.0,3.0,Very Low
ScoobySnacks#8063,1,18.0,3.0,Very Low
Scott Eisner#3987,1,18.0,3.0,Very Low
Scott21#6117,1,18.0,3.0,Very Low
Scott🦾🖥#4929,1,18.0,3.0,Very Low
ScrumpBot#1654,1,18.0,3.0,Very Low
Scummy#5021,1,18.0,3.0,Very Low
SeaLevelCain#1248,1,18.0,3.0,Very Low
Seki#0965,1,18.0,3.0,Very Low
SelemelaMoagi#0576,1,18.0,3.0,Very Low
Selena Ivanovic#8946,1,18.0,3.0,Very Low
Semongko#5900,1,5.0,1.0,Very Low
SenorCruz#4457,1,99.0,20.0,Very Low
Senshii#3942,1,18.0,3.0,Very Low
Serpent#2504,1,18.0,3.0,Very Low
Servant of God#9161,1,18.0,3.0,Very Low
ServantOfMelian#7728,1,18.0,3.0,Very Low
SethM#0682,1,18.0,3.0,Very Low
Setthy#4358,1,18.0,3.0,Very Low
SeunCrypton#7048,1,18.0,3.0,Very Low
Shadow Spirit#4476,1,20.0,4.0,Very Low
ShadowNoobDX#8574,1,18.0,3.0,Very Low
ShadowSecrecy#2360,1,18.0,3.0,Very Low
Shakir#2108,1,18.0,3.0,Very Low
Shanky#2209,2,98.0,8.0,Very Low
SharkChaser9322#8814,1,18.0,3.0,Very Low
Sharonel2022#4670,1,18.0,3.0,Very Low
ShaulinKin#9622,1,18.0,3.0,Very Low
Shaun FiDi#1156,1,18.0,3.0,Very Low
Shawniee#9838,1,18.0,3.0,Very Low
Sheldonis#3995,1,18.0,3.0,Very Low
Sheldonis#5352,1,18.0,3.0,Very Low
Shibegami#0759,1,18.0,3.0,Very Low
Shinasy#8287,1,18.0,3.0,Very Low
Short#4801,1,18.0,3.0,Very Low
Shotornot#5314,2,61.0,5.5,Very Low
Shreliz#6616,1,18.0,3.0,Very Low
Shri#5287,1,18.0,3.0,Very Low
Siam Brad#3182,1,18.0,3.0,Very Low
Sicario#7762,1,18.0,3.0,Very Low
Sid#6188,1,18.0,3.0,Very Low
Sidney jr45#8814,1,18.0,3.0,Very Low
Silver Wing#2033,1,18.0,3.0,Very Low
Silverexx#0703,1,18.0,3.0,Very Low
SilvioSoza#1281,1,14.0,3.0,Very Low
SimarCheema#8518,1,18.0,3.0,Very Low
Simon#8050,1,18.0,3.0,Very Low
Simona#8637,1,18.0,3.0,Very Low
Sinpaii#5203,1,18.0,3.0,Very Low
SippinOnChlorine#3085,1,18.0,3.0,Very Low
Sir. Crucible OZ#0640,1,18.0,3.0,Very Low
SirGu#5336,1,18.0,3.0,Very Low
Siro#4731,1,18.0,3.0,Very Low
Sister Ze#6830,1,18.0,3.0,Very Low
Sixodrum#2645,1,18.0,3.0,Very Low
SkCLucky#9424,9,235.0,5.333333333333333,Very Low
Skeez#1102,2,36.0,3.0,Very Low
Skeleton WIth a six pack and 6'5#0864,1,18.0,3.0,Very Low
Skoodgen#0077,1,18.0,3.0,Very Low
Skylight#5486,1,18.0,3.0,Very Low
SlamPigDestroyer33#0459,1,18.0,3.0,Very Low
Sloppy Slippage#8094,1,18.0,3.0,Very Low
Smoopie#1844,9,546.0,12.11111111111111,Very Low
Smovial#9713,1,18.0,3.0,Very Low
Snail_ona_rzr#5481,1,18.0,3.0,Very Low
SoFuckingBad#3423,1,18.0,3.0,Very Low
SoNegative.#4370,1,18.0,3.0,Very Low
SoSorel σç╢#3319,1,18.0,3.0,Very Low
Sofi soft#2046,1,18.0,3.0,Very Low
Sofi soft#7872,1,18.0,3.0,Very Low
Sofimeiker#5226,3,269.0,16.0,Very Low
Sohan#2187,1,18.0,3.0,Very Low
Soho#1255,1,18.0,3.0,Very Low
Solara#0917,1,18.0,3.0,Very Low
Solipay#5889,1,18.0,3.0,Very Low
Solovev Max#8084,1,18.0,3.0,Very Low
Songze#2082,1,18.0,3.0,Very Low
Sophia | Crypto Crime Club#5082,2,26.0,2.5,Very Low
Sototo#4181,1,18.0,3.0,Very Low
Soujanya#7428,1,18.0,3.0,Very Low
Sourav#9455,1,18.0,3.0,Very Low
SourceCode808#4170,1,18.0,3.0,Very Low
Sourcecode#7268,1,18.0,3.0,Very Low
Space is the Place#6094,1,18.0,3.0,Very Low
Sparky#7673,1,18.0,3.0,Very Low
Spectocurrency#4450,1,12.0,2.0,Very Low
Squeezi#6469,1,18.0,3.0,Very Low
Statbot#3472,0,0.0,,
Steffen#9437,11,1004.0,16.181818181818183,Low
StepanPlyushkin#1339,1,332.0,56.0,Very Low
Stephen&John#0615,1,18.0,3.0,Very Low
Stephen-pro | Server.ETH#4270,1,18.0,3.0,Very Low
Steve 83648#9359,1,18.0,3.0,Very Low
StevePetras#4686,1,18.0,3.0,Very Low
StickySocks#8190,1,18.0,3.0,Very Low
Stijn#5177,4,145.0,6.0,Very Low
Stock_Teamz#4009,1,332.0,55.0,Very Low
Stupendous#0761,1,18.0,3.0,Very Low
Success Stranger#3811,1,18.0,3.0,Very Low
SuedoPetodo#5745,1,18.0,3.0,Very Low
Sujknight#0226,3,206.0,13.666666666666666,Very Low
SunY#3196,1,18.0,3.0,Very Low
SundaeswapDev#3792,1,18.0,3.0,Very Low
Sunil#8398,1,18.0,3.0,Very Low
Sunny Durante-Support#1619,1,18.0,3.0,Very Low
Super Broly#8321,1,18.0,3.0,Very Low
Supercell#2279,1,18.0,3.0,Very Low
Superman#4203,1,18.0,3.0,Very Low
Super⚡Annа#7845,1,18.0,3.0,Very Low
Support Desk#1118,1,18.0,3.0,Very Low
Support Desk#9477,1,18.0,3.0,Very Low
Support Team#5527,1,18.0,3.0,Very Low
SupportBot#0295,3,54.0,3.0,Very Low
SupportBot#0540,1,18.0,3.0,Very Low
SupportBot#1987,1,18.0,3.0,Very Low
SupportBot#3639,1,18.0,3.0,Very Low
SupportBot#4497,1,18.0,3.0,Very Low
SupportBot#6695,1,18.0,3.0,Very Low
SupportBot#7727,1,18.0,3.0,Very Low
SupportBot#9184,1,18.0,3.0,Very Low
SupportBot#9681,1,18.0,3.0,Very Low
SupportTeam#8889,1,18.0,3.0,Very Low
Support_Desk#1883,1,18.0,3.0,Very Low
Support_Desk#4478,1,18.0,3.0,Very Low
Support| C S#3431,1,18.0,3.0,Very Low
Surya#8447,1,18.0,3.0,Very Low
Swyuk#9986,1,18.0,3.0,Very Low
SydneySr#7827,1,18.0,3.0,Very Low
S├╕f─»├Ñ ≡ƒÉ▓#9436,1,18.0,3.0,Very Low
TALHA#2373,2,36.0,3.0,Very Low
TAng#8589,1,18.0,3.0,Very Low
TECH | CTRL#3237,1,18.0,3.0,Very Low
TENPLAT$#4619,1,18.0,3.0,Very Low
TESTUDOGUY#4473,1,18.0,3.0,Very Low
TG MISTER#2429,1,18.0,3.0,Very Low
THE GUARDIAN#5523,1,18.0,3.0,Very Low
THXAVIER#6049,1,18.0,3.0,Very Low
TRaj#6487,2,24.0,2.5,Very Low
Taki sobie arek#7420,1,18.0,3.0,Very Low
Takumar#7545,1,18.0,3.0,Very Low
Tal_Sls#7180,9,713.0,16.11111111111111,Very Low
Talren11#4635,1,77.0,16.0,Very Low
Tara#0034,1,18.0,3.0,Very Low
Tara#8631,1,18.0,3.0,Very Low
Tatimej#8251,1,18.0,3.0,Very Low
Tavia#9606,2,228.0,23.0,Very Low
Tazmon#9732,1,18.0,3.0,Very Low
Tboyloyal#1401,8,305.0,7.25,Very Low
Teale#3373,1,18.0,3.0,Very Low
Teamsupport#4353,1,18.0,3.0,Very Low
Tech | Support#8668,1,18.0,3.0,Very Low
Tech.MamilieCG🎖#4934,1,18.0,3.0,Very Low
TechBran#7050,1,18.0,3.0,Very Low
Technical Helpdesk#7835,1,18.0,3.0,Very Low
Technical Helpdesk#9284,1,18.0,3.0,Very Low
Ted Baker#6978,1,18.0,3.0,Very Low
Teddiram#0336,1,18.0,3.0,Very Low
Teemo de Yordle#8910,1,18.0,3.0,Very Low
Tejinder#1183,1,18.0,3.0,Very Low
Tejj#8566,1,18.0,3.0,Very Low
Tekashi Sensei#8575,1,18.0,3.0,Very Low
Tercel#1601,3,488.0,29.333333333333332,Very Low
